TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"5373904","Magic","Kamigawa: Neon Dynasty","Ao, the Dawn Sky","","2","M","Near Mint Foil","2.06","2.04","2.5600","1.2500","1","1","2.0600",""
"2736952","Magic","Dragons of Tarkir","Arashin Foremost","","3","R","Near Mint","0.28","","1.4600","0.1500","1","1","0.2800",""
"7828642","Magic","Outlaws of Thunder Junction","Archangel of Tithes","","2","M","Near Mint","2.59","2.56","3.2800","1.9700","1","1","2.5900",""
"5743661","Magic","Dominaria United","Archangel of Wrath","","3","R","Near Mint","0.15","0.16","1.3800","0.0700","5","5","0.1500",""
"6772983","Magic","Starter Commander Decks","Archon of Redemption","","7","R","Near Mint","0.13","0.07","1.3800","0.0700","1","1","0.1300",""
"5618291","Magic","Commander Legends: Battle for Baldur's Gate","Ascend from Avernus","","5","R","Near Mint","1.03","0.88","2.3100","1.0000","1","1","1.0300",""
"4053374","Magic","Modern Horizons","Astral Drift","","3","R","Near Mint","0.20","0.21","1.3800","0.0700","1","1","0.2000",""
"6911830","Magic","SLX Cards","Baldin, Century Herdmaster","","10","R","Near Mint","1.60","1.54","1.8300","0.5200","1","1","1.6000",""
"4439425","Magic","Core Set 2021","Baneslayer Angel","","6","M","Near Mint","2.21","2.21","3.0800","1.4900","1","1","2.2100",""
"5645134","Magic","Commander Legends: Battle for Baldur's Gate","Banishment","","8","U","Near Mint","0.05","0.01","1.3200","0.0100","1","1","0.0500",""
"4443872","Magic","Core Set 2021","Basri Ket","","7","M","Near Mint","1.61","1.00","2.3100","1.0000","1","1","1.6100",""
"4444092","Magic","Core Set 2021","Basri's Lieutenant","","9","R","Near Mint","0.19","0.09","1.4500","0.1400","1","1","0.1900",""
"4444202","Magic","Core Set 2021","Basri's Lieutenant (Showcase)","","288","R","Near Mint","0.23","0.16","1.4600","0.1500","1","1","0.2300",""
"5624672","Magic","Commander Legends: Battle for Baldur's Gate","Beckoning Will-o'-Wisp","","10","U","Near Mint","0.03","0.01","1.3200","0.0100","1","1","0.0300",""
"7043046","Magic","March of the Machine","Boon-Bringer Valkyrie","","9","R","Near Mint","0.25","0.19","1.4500","0.1400","3","3","0.2500",""
"3847225","Magic","Guilds of Ravnica","Bounty Agent","","2","R","Near Mint","0.27","","1.4900","0.1800","1","1","0.2700",""
"5386713","Magic","Kamigawa: Neon Dynasty","Brilliant Restoration","","7","R","Near Mint","0.80","0.64","1.9600","0.6500","1","1","0.8000",""
"5386833","Magic","Kamigawa: Neon Dynasty","Brilliant Restoration (Showcase)","","363","R","Near Mint","1.24","1.26","2.5000","1.1900","1","1","1.2400",""
